municipality_id,municipality_code,municipality_name_en,municipality_name_np,district_id,is_active
55,JAH,JAHADA,????,5,Y
464,JAI,JAIMINI,जैमिनी,45,Y
192,JAL,JALESHWAR,जलेश्वर,18,Y
457,JAJ,JALJALA,जलजला,44,Y
586,JAN,JANAKI,जानकी,56,Y
715,JAK,JANAKI,जानकी,71,Y
185,JAD,JANAKNANDINI,जनकनन्दिनी,17,Y
175,JAP,JANAKPUR,जनकपुरधाम,17,Y
127,JAT,JANTEDHUNGA,जन्तेढुङ्गा ,13,Y
677,JAY,JAYAPRITHVI,जयपृथ्वी,68,Y
246,JEE,JEETPURSIMARA,जीतपुर सिमरा,21,Y
39,JHA,JHAPA,झापा,4,Y
548,JHI,JHIMRUK,झिमरुक,52,Y
262,JIR,JIRABHAWANI,जिरा भवानी,22,Y
290,JII,JIRI,जिरी,25,Y
703,JOR,JORAYAL,जोरायल,70,Y
719,JOS,JOSHIPUR,जोशीपुर,71,Y
304,JUG,JUGAL,जुगल,26,Y
629,JUN,JUNICHANDE,जुनीचाँदे,61,Y
369,JWA,JWALAMUKHI,ज्वालामूखी,33,Y
706,KIS,K.I. SINGH,के.आई.सिं.,70,Y
42,KAC,KACHANKAWAL,कचनकवल,4,Y
336,KAG,KAGESHWORI MANOHARA,कागेश्वरी मनोहरा,30,Y
638,KAI,KAIKE,काईके,62,Y
718,KAL,KAILARI,कैलारी,71,Y
379,KAA,KAILASH,कैलाश,34,Y
348,KAK,KAKANI,ककनी,31,Y
245,KAY,KALAIYA,कलैया,21,Y
431,KAN,KALI GANDAKI,कालीगण्डकी,39,Y
490,KAD,KALI GANDAKI,कालीगण्डकी,47,Y
359,KAO,KALIKA,कालिका,32,Y
389,KAP,KALIKA,कालिका,35,Y
269,KAM,KALIKAMAI,कालिकामाई,22,Y
598,KAT,KALIMATI,कालिमाटी,58,Y
292,KAH,KALINCHOWK,कालिन्चोक,25,Y
163,KAU,KALYANPUR,कल्याणपुर,16,Y
36,KAJ,KAMAL,कमल,4,Y
184,KAQ,KAMALA,कमला,17,Y
273,KAB,KAMALAMAI,कमलामाई,23,Y
691,KAZ,KAMALBAZAR,कमलबजार,69,Y
641,KAS,KANAKASUNDARI,कनकासुन्दरी,63,Y
516,KAV,KANCHAN,कन्चन,49,Y
142,KAR,KANCHANRUP,कञ्चनरुप,15,Y
56,KAE,KANEPOKHARI,कानेपोखरी,5,Y
30,KAW,KANKAI,कन्काई,4,Y
525,KAX,KAPILVASTU,कपिलवस्तु,50,Y
600,KAF,KAPURKOT,कपुरकोट,58,Y
252,KBB,KARAIYAMAI,करैयामाई,21,Y
168,KEE,KARJANHA,कर्जन्हा,16,Y
57,KJJ,KATAHARI,कटहरी,5,Y
238,KHH,KATAHARIYA,कटहरिया,20,Y
133,KCC,KATARI,कटारी ,14,Y
467,KEF,KATHEKHOLA,काठेखोला,45,Y
335,KGG,KATHMANDU,काठमाण्डौं,30,Y
759,KYY,KAUDENA,कौडेना,19,Y
472,KNN,KAWASOTI,कावासोती,46,Y
222,KZZ,KAWILASI,कविलासी,19,Y
687,KED,KEDARASYU,केदारस्युँ,68,Y
129,KEP,KEPILASGADHI,केपिलासगढी,13,Y
58,KER,KERABARI,केरावारी,5,Y
285,KHA,khadadevi,खाँडादेवी,24,Y
145,KHD,KHADAK,खडक,15,Y
390,KHI,KHAIRAHANI,खैरहनी,35,Y
584,KHJ,KHAJURA,खजुरा,56,Y
648,KHN,KHANDACHAKRA,खाँडाचक्र,64,Y
90,KHB,KHANDBARI,खाँदवारी,9,Y
318,KHK,KHANIKHOLA,खानीखोला,27,Y
365,KHY,KHANIYABASH,खनियाबास,33,Y
675,KHP,KHAPTAD CHHEDEDAHA,खप्तड छेडेदह,67,Y
681,KHT,KHAPTADCHHANNA,खप्तडछान्ना,68,Y
663,KHR,KHARPUNATH,खार्पुनाथ,66,Y
660,KHL,KHATYAD,खत्याड,65,Y
116,KHE,KHIJIDEMBA,खिजिदेम्बा,12,Y
128,KHO,KHOTEHANG,खोटेहाङ,13,Y
